城市,北京,天津,成都,西安,淄博,长沙,唐山,济南,保定,贵阳,合肥,长春,石家庄,苏州,郑州,茂名,扬州,莆田,绍兴,阜阳,上海,广州,南京,汕头,杭州,武汉,深圳,佛山,南昌,太原,厦门,盐城,襄阳,重庆,沈阳,大连,昆明,南宁,无锡,枣庄,宁波,南通,哈尔滨,青岛,连云港,淮安,常州,临沂,乌鲁木齐,徐州
时间,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
degree,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
24,90.3,54.9,144.6,168,73.9,141.6,32.2,110.6,61,85.3,142.1,56.9,86.1,70,106.5,96,99,50,90,166.8,41.3,50.5,97.7,61.8,93.2,111.4,33.7,44,45.6,85.8,130.3,123.3,136.6,71.4,77.7,104.4,28.8,108.1,54.2,159.8,41.7,91.1,25.7,67.7,121.2,140.3,61,88.1,83.7,119.1
23,91.9,89.1,154.6,184.3,66.2,148.3,38.7,113.9,88.6,70.3,109.8,57.7,89.3,74.6,110.2,83.5,100,54.7,87.2,179.9,41.8,55,111.8,62.7,91.3,97.7,34.9,40,44.4,94,140,121.7,147.9,72.1,78.5,113.5,36.8,109.8,76.7,154.7,41.7,188.9,29.9,74.8,120.8,153.7,53.3,122.1,76.4,121.5
22,99.6,74.9,146.4,182.5,70.9,151.7,43.9,108.4,93.1,70.3,92.8,67.3,98.3,69.8,108,120,96.2,59.6,88.1,168.7,39.7,56.9,108.9,66.5,87.6,94.6,35.5,37.9,38.8,85.3,141.5,108.3,150.3,75.4,74,122.7,35.9,110.7,75.4,205.6,39.2,230.4,33.2,83.2,123.5,145.9,49.6,118,90.1,125
21,113.4,57.4,156.2,178.9,79.7,157.8,53.5,101.9,86.2,74.6,87.1,72.4,97.7,65,106.8,140,98.7,59.8,84.3,162.8,41.4,59.6,115,66.5,84.3,89.4,35.5,40.7,47.9,98.6,116,113.6,155.8,73.6,58,138.9,31.1,112.9,48.6,145.1,38.6,195.8,32.5,91,113.2,131.1,43.8,146.5,94.8,132.2
20,123.1,57.8,133.4,166.4,73,157.3,25.4,102.4,66.8,79.7,88.2,77.2,95.1,51.8,113.8,132,100,54,78.6,161.8,38.9,57.1,118,61.5,79.9,83.4,35.5,42.8,45.7,94.4,103.2,107.9,155.8,84,52.7,140.9,29.8,122.7,37.3,124.3,41.4,145.2,27.2,89,92.3,108.6,39.7,132.5,107.9,135.6
19,146.9,62.5,127.1,162.7,63.1,169.7,29.7,104.7,78.3,88.9,89.6,90.2,101.1,43.1,115,103.2,101,53,78.6,169.5,42.5,55,120.5,60,76.3,84,35.5,44.1,48.1,88,100,102.8,165.2,80.5,52.8,147.7,33.3,130.9,43.5,112.5,43.4,135.7,32.9,92.2,78.4,100.7,37.3,125.1,116.2,142.6
18,163.2,79.1,90,147.7,63.3,178.9,26.2,104.8,92.8,95.7,90.2,113.6,117.8,40.8,112.8,157.9,109.5,54,74.8,209,41.1,53,128.3,54.3,68.8,85.6,37,44.1,43.5,83.8,101.1,109.1,156.7,78.4,47.8,148,34.3,128.2,43.2,120.7,49.8,158.3,57.8,91.1,77.9,94.3,41.1,122.9,111.8,149.1
17,175.2,92.4,90,141.6,71.7,172.2,32,101.9,97.4,101.4,92.4,121.7,137,40.8,108.2,170,112.6,53.1,72.9,192,43.7,53,128.8,48.7,65.4,90.1,39.7,50.5,57,86.6,102.7,114.7,152.5,67.4,50.5,96.2,33.4,137.3,50,123.5,58.8,165.8,92.2,94.9,77.9,85.3,44.4,94.4,97.9,155.6
16,179.5,89.5,81.7,133.6,81.4,184.4,43.4,111.1,124.4,119.7,89.8,121.9,144.6,54.3,106.7,222.6,113,54.1,70.1,162,46.3,45.8,134.3,46.7,62.2,85.1,42.1,53.4,51,96.5,93.7,110.3,140.4,63.6,71.4,136.4,32.7,137.5,70.6,117.2,56.3,189.5,77.8,91.5,79.1,76.1,47.8,98.3,110.6,160.8
15,138.9,89.2,69.1,113.4,79,177.8,39,114.8,138.8,159.5,88.9,78.2,156.1,56,107.7,78.4,118.8,57.3,70.1,188.8,42.5,47.6,120.7,40.7,59.7,84,44.2,58.6,54,59,82.1,102.9,125.5,63.4,165.1,141.6,37.6,136,123,197.1,67.7,226.3,80,98.3,89.5,69.1,50.4,95.1,113.4,156.3
14,106,82.7,66.4,99.5,82.4,165.2,49.5,114.8,136.6,81,91.1,74.1,139.7,58.7,98.2,65.7,111.2,65.3,75.8,192.5,43.8,51.5,109.8,37.4,61,85.9,46.2,62.9,52.2,61.3,69.5,95.5,105.8,59.2,201.6,181.1,35.3,110.7,57.9,175,69.1,347.5,76.4,123.2,94.2,66.9,50.7,98.6,98.1,155.8
13,88.8,74.8,65.6,89.3,86.5,121.9,50,111.9,140.4,83.8,88.2,86.8,130.2,60.6,102.9,87,108,60.2,76.8,205.6,37.9,44.4,96.2,30,53.4,78.4,41.3,55.2,63,54.2,67.4,83.3,104.9,54,138,156.9,33,69.9,83.6,121.9,62,197.8,74.9,122.8,91.5,69.7,48.3,91.7,98.9,141.9
12,78.8,78.9,60.6,84.8,86.2,116.8,59,108.6,147.5,83.1,96.1,91.8,133.3,58.1,101.1,56.7,112.6,62.2,77.7,172.1,45,52.8,89.1,27.9,50.6,75.9,40.1,52,62.3,47.9,61.1,87.8,104.2,51.5,94.4,102.7,32.3,68.7,130,124,64,139.5,73.6,94.8,101,76.2,46.9,73.8,107,120.9
11,72.7,63.7,58.2,80.7,85,117.6,80.2,117.1,147.7,90,100,76.5,141.6,67.2,98.9,60.9,99,60.4,78.6,150.9,48.2,54.4,95.3,27.5,51.8,74.7,36.8,52.1,92.6,46,53.7,98.6,106.7,52.4,73.4,74.7,28.5,63.3,184.1,118.8,67.5,111.9,65.5,108.2,92.9,78.4,59.4,85,97.7,108.7
10,68.7,56.5,56.6,79,94.6,114.8,102,116,171.5,83.3,89.6,68.1,101.9,70.8,93.4,55.2,91.7,54.3,77.4,115.4,56.8,53.6,90.8,26,51.2,65.9,32.8,48.4,95.3,45.5,40,90.5,94.2,49.7,66.2,72.5,25.2,60.7,133.4,133.7,70,123.1,58.5,101.1,80,78.7,70.6,77.9,97.5,97.8
9,65.2,56.4,54.9,78.2,86.2,111.4,78.7,118.7,154.4,82,95.8,58,82.1,79.9,86.7,38,92.5,47.8,66.1,78.6,55.1,48.8,79.6,26.4,57.3,63.7,32.8,46.9,78.1,42.9,33.8,81.6,101.2,51.1,63,61.8,20.4,55.5,91.6,103.3,66.4,101.7,53.1,101.1,61.1,73,67.7,74.4,123.1,86.3
8,56,63.9,55,74.6,80.6,102.8,57.8,110.3,122.9,73.1,92.9,47,61.1,81,88.1,44,89.5,41.9,58.8,73.6,54.9,40,84.9,24.4,67.5,64.5,35.8,50,83.7,52.9,31,78.9,110.8,50,63.6,57.8,18,52.7,66.7,98.9,65,74.1,51.7,86.7,53.3,60.4,64.6,66.3,127,84.4
7,57.4,73.6,63.5,77.8,79,99.2,65.7,106.7,83.1,65.3,99,42.9,52.2,82.1,80.2,55.6,82.6,38.1,63.1,79.5,59.3,37.5,72.2,23.6,74.6,69,41,48,74.6,51.9,31,74.3,105.6,49.5,51.2,53.1,16.7,55.2,66,77.9,62.1,71,44.3,60.6,50,54.4,62.6,70,118.7,90.4
6,55.1,73.4,60.7,74.5,77,100,99.3,98.8,61,54.7,109.2,41.9,45.5,89.4,78.5,65.3,75.9,36.9,72.1,114.6,59.3,32.4,61.6,23.2,82.4,68.3,43.8,46.7,66.1,58.8,27.5,77.3,66.7,51.9,41.9,52.5,15,52.3,64.7,72.1,63.9,78.1,33.3,61.4,45.2,49,58.6,88.2,116.1,99.4
5,54.2,72.9,66.5,73.2,76.9,99.3,88.8,92.1,52.3,47.3,107.5,44.2,37.3,90.7,79.6,67.4,68,36.4,86.6,96.4,64.2,36.2,75.6,21.4,89.9,72.8,45.9,49.3,64.7,54,28.2,79,63.3,55.2,31.3,47.5,16.7,52.6,64.6,84,64.9,78.6,28.7,55.2,44.9,43.2,55.2,81,111.3,103.6
4,49.4,62.2,57.3,70.3,65.8,90.2,64,92.1,42.5,45.9,119.6,44.2,38,91.8,76.6,67.4,66.8,36.7,94.4,109.4,68,38.2,90,22.6,92.8,68.2,46.8,50.1,68.5,60.4,29.7,80.6,67,55.1,27.2,42.6,18.3,53.6,63.9,98.9,62.4,80.9,23,67.7,42.3,43,53.6,81.9,102.9,95.1
3,50.1,74.7,56.3,69.4,58.3,90.6,41.3,95.9,34.7,40.5,121.3,40.9,32.4,88.2,71.9,66.7,60.8,35.9,97.1,118.6,78.8,39.6,88.1,22.6,93.1,69.1,46.8,50.3,66.1,58.2,28.8,89.1,74.7,54.7,25.3,43.5,19.2,50.8,70.7,98.2,61.3,72.6,21.3,60.5,47.7,45.5,56.5,67.8,75.9,107.2
2,48,67.5,69.2,69.4,58.3,84,42.6,95.5,28.6,37.2,107.8,40.9,31.4,85,67.5,102.8,62.6,36.2,96,124.8,90.9,40,80.9,22.7,95.2,68.1,47.8,52.2,70.9,51.6,24,75,70.2,57.3,22.3,38.3,20.3,50.3,71.5,104.5,63.5,67.7,19.7,59,55,49,58.5,55.2,61.4,110.8
1,42,49.3,78.8,71.1,61,81.5,61,86.9,30.7,32.4,72,42.2,31,84,53.1,55,78,33.8,97.5,122.9,94.1,42.5,97.2,24,91.3,66.8,48.6,55,77.3,45.8,24.7,82.9,58.5,56.5,22.8,37.8,19,47.6,64.7,106.7,64.9,81.3,17.8,52.5,55.2,55.5,58.5,64.8,45.9,103.6
