11个城市,北京,北京,天津,天津,成都,成都,西安,西安,淄博,淄博,长沙,长沙,唐山,唐山,济南,济南,保定,保定,贵阳,贵阳,合肥,合肥,长春,长春,石家庄,石家庄,苏州,苏州,郑州,郑州,茂名,茂名,扬州,扬州,莆田,莆田,绍兴,绍兴,阜阳,阜阳,上海,上海,广州,广州,南京,南京,汕头,汕头,杭州,杭州,武汉,武汉,深圳,深圳,佛山,佛山,南昌,南昌,太原,太原,厦门,厦门,盐城,盐城,襄阳,襄阳,重庆,重庆,沈阳,沈阳,大连,大连,昆明,昆明,南宁,南宁,无锡,无锡,枣庄,枣庄,宁波,宁波,南通,南通,哈尔滨,哈尔滨,青岛,青岛,连云港,连云港,淮安,淮安,常州,常州,临沂,临沂,乌鲁木齐,乌鲁木齐,徐州,徐州
时间,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
24,124.5,49.2,69,121.4,176.3,139.7,79.1,124.1,47.8,48.5,201.9,154.5,39.3,41.6,66.9,95.5,134,153.3,66.7,74,249.4,119.8,53.4,33.3,84.9,68.3,56.6,34,96.9,98.7,190,192.7,90.2,72.9,48,91.7,122.6,62.5,131.5,242.9,39.7,22,112.8,166.1,40.8,124.4,65.5,121.3,104.6,65.5,89.8,125.3,64.1,82.1,170,132.6,132.9,55.5,85,91.7,98.9,164.8,50,72.9,146,154.2,71.4,92.9,59.2,53.7,63.2,61.3,32.9,59.8,92.9,111,58.1,36.1,100,146.8,87.8,33.3,60.3,62.1,108.5,117.2,15.5,38,34.8,55.6,55.6,65.2,49.5,55,43.2,49.4,60.7,31.4,53.3,134.4
23,127.7,60.1,63.4,131.7,174.8,137.5,79.2,123.5,56.4,52.1,244.4,158.7,36.4,39,86.2,86.9,137.9,203.6,72.9,81.6,262.8,101.3,55,35.3,87.1,59.6,55.6,41.6,97,102.1,215.6,162.6,79.1,67.5,64.6,90.2,125.5,63.5,138,212.9,40.7,19.6,127,186.3,39.8,121.1,66,149.4,93.8,64.1,96.1,120.2,67.1,103.2,175,142.9,120.5,55.2,99.7,89.3,122.2,153.6,65.2,80.8,152.9,158.1,71.9,89.4,60.5,59.6,71.4,68.5,41.7,68.8,117.9,127.1,63.7,34,133.3,153,98.2,28.2,98.5,88.6,113.6,125,24,42.4,43.2,77.6,59.6,75.7,50.4,46,44.8,43.9,58.3,28.5,55.7,140
22,133.6,84.4,59.2,122.5,175.5,139.9,79.7,125,64.1,37.2,293.2,162.6,36.9,45,88,76.5,135.7,201.2,70,82.5,213,98.6,53.4,37.3,90.3,62.7,54.7,44.9,93.8,101.9,203.9,164.4,73.5,74.3,60,88.5,117.2,55.7,127.5,222.9,42.6,20.9,132.9,197.5,37.3,142.9,70.5,129.8,89.1,59.9,100,117.6,65.2,87,158.6,138.3,109.6,52.8,95.7,85.8,117.8,189.6,76.1,79.5,153.8,175.6,76,94.8,68.4,71.9,88.2,72.8,39,72.5,146.4,137.2,58.5,23.3,120.6,160,102.7,25,147.1,100,117.3,89.9,28.1,50.9,41.3,180.6,62,92.9,41.8,44.5,48.7,109.8,61.7,30.4,56.7,141.9
21,146.1,100.3,56.4,111.5,177.5,139.1,80.1,134.6,72,37,306.1,162.2,42.6,88.5,94.8,73,122.3,164.8,72.9,93.6,136.1,100,49.7,47.2,85,68.8,53.3,43.5,94.5,107.8,161,198.4,80,75.4,60.9,93.2,105.8,49.4,106.5,185.1,38.7,22,138.6,190,41.8,157.6,73.3,74.7,60.8,57.8,104,125,65.5,83.6,145.6,143.4,106.8,49.4,86.4,85.5,127.1,248.7,56.5,60.5,158.7,184.8,77.6,96.2,55.9,115,93,74.5,40,68.6,151.7,138.2,52.8,23,100,133.3,92.8,22.6,141.9,63.2,107,66,22.5,40,38,186.4,61.9,97,38.7,38,52.9,115.3,62.4,20.7,56.4,138.2
20,162.5,106.3,55.2,104,177.9,136.3,81.5,141.4,68.8,35.6,323.6,157.5,43.8,93.9,101.3,64,110.7,147.1,74.2,92.7,100,98.5,50,63.9,73.1,73.7,47.7,40.9,94.4,114.9,142.7,271.7,91,49.2,70,100,106,47.3,107.5,191.9,40.4,23.1,130.8,199.2,46.9,148.7,74,105.3,48.1,54.3,106.5,119.5,62.4,83.2,147,153.2,107.3,50.3,82.4,81.3,140,305,47.9,40.5,156.1,175.6,81.8,96.5,45.6,132.4,94.4,70.1,44.7,59.4,172.2,130.7,57.6,21.8,79.4,103.1,96.4,22.3,64.3,50,99.7,60,19.7,36.6,30,85.7,33.3,78.1,36.4,37.8,60,114.1,53.2,37.1,54.8,134.4
19,156.4,132.2,59.6,102.6,175.2,124.2,86.8,146.2,70.6,25.6,336.2,160.2,46.2,89.7,110.7,62.4,112.2,124.6,71.9,89.9,91,98.5,55.9,67.8,82.1,73.1,44.2,37,92.8,117.9,132.9,364.6,111.1,60,65,112.1,105.2,44.1,87.9,223.3,38.9,28.2,137.5,189.1,61.7,134,71.1,106,45.3,45.6,107.3,111.8,60.9,84.6,144.5,147.7,112.5,52.1,81.9,86.6,157.5,291.7,35.4,27.1,157,169.7,84.1,100.1,46.1,112.4,101.4,82.3,42,56.2,193.9,125,59.1,23.5,102.9,104.8,89.2,23.6,46.4,33.3,90.2,61.4,24,38.7,26.9,42.3,38.1,64.5,37,42,61.2,83.5,60.3,43.9,51.6,136.1
18,166.3,181.4,65.1,104.2,169.6,114.6,86.8,150.2,76.6,28.8,303.2,165.6,56.7,87,107.4,62.7,118.6,103.1,77.3,89.8,74.1,100,61.4,54.2,79.5,70.2,46.4,38.7,89.3,113.7,133.3,367.7,132,61.4,73.7,126.6,103.7,44.3,91.1,208.1,35.7,28.2,143.5,179,70.1,119.2,74.3,90.9,38.3,51.3,108.8,98.8,65.4,88.3,138.9,148.6,115.3,57,79.6,97.6,140,280,33.3,27.8,153.9,156.6,93.4,113.1,52.2,75.4,109.9,82.5,34.1,57.4,217,125,68.8,29.7,97.4,93.1,91.1,25.5,57.1,31.7,87.4,76.6,24,41.2,21.4,36.5,45.7,67.2,37.6,49.6,70,76.9,63.9,45.2,54.8,130.4
17,186.7,210.6,80.2,99.8,167.2,102.3,89.9,153.2,81.9,30.2,317.4,179.8,57.3,75.4,141.8,70.4,130.9,106.6,94,88,67.1,103.4,57.1,48.7,90.1,65.6,46.4,51.6,84.1,109.7,230,320,147.7,72.3,80,126.4,105.2,38.7,103.8,215.8,33.3,24.4,146.3,168.5,59.3,106.3,66.7,91,35.6,47.8,107.7,89.9,70.8,95.7,158.8,123.6,112.1,57.9,57,103.3,132.5,221.8,37.5,26.4,137.4,151.4,100,118.7,63.8,73.1,122.7,75.8,40,63.1,226.4,123.1,68.6,44.1,136.8,90,94.8,27.8,81,36.7,81.1,87.7,29.1,45.2,29.2,36,66.7,73.4,44.4,57.2,82.7,73.6,76.1,61.9,60.5,134.2
